,year,n,n_inter,not_inter,n_solo
187,1881,24087,14,2492,21581
119,1882,24140,9,2156,21975
118,1883,26307,6,3049,23252
128,1884,27316,17,3394,23905
126,1885,28380,6,3418,24956
16,1886,29944,18,3734,26192
135,1887,31003,16,3994,26993
131,1888,31283,21,3648,27614
161,1889,30454,13,3213,27228
175,1890,31212,12,3529,27671
144,1891,31381,10,3025,28346
86,1892,30542,19,3373,27150
139,1893,33890,15,3679,30196
130,1894,35714,14,4008,31692
138,1895,37988,15,4482,33491
91,1896,39136,13,4315,34808
125,1897,39195,13,4444,34738
158,1898,40960,27,4570,36363
143,1899,44844,94,5843,38907
103,1900,51345,61,8424,42860
147,1901,45693,46,5708,39939
90,1902,47638,16,6116,41506
89,1903,47583,35,6484,41064
133,1904,49270,22,6628,42620
129,1905,50359,36,7307,43016
27,1906,53731,29,8119,45583
149,1907,52493,32,7262,45199
81,1908,55488,35,7953,47500
152,1909,58922,25,8797,50100
93,1910,64558,46,10173,54339
87,1911,63332,29,9484,53819
109,1912,68156,37,11234,56885
78,1913,68744,46,10812,57886
84,1914,64265,36,10478,53751
88,1915,57026,59,8756,48211
111,1916,55635,44,8754,46837
164,1917,53073,40,8570,44463
85,1918,52124,69,8200,43855
63,1919,55948,54,8575,47319
124,1920,64900,80,9754,55066
97,1921,68875,79,10892,57904
151,1922,76425,152,12588,63685
101,1923,78385,155,13280,64950
32,1924,83712,154,14519,69039
92,1925,88533,154,15259,73120
95,1926,97064,163,17186,79715
75,1927,101438,169,19427,81842
73,1928,104899,188,21123,83588
48,1929,107692,200,21676,85816
67,1930,117475,177,24477,92821
106,1931,113486,213,24317,88956
107,1932,115040,231,25451,89358
69,1933,115737,306,27065,88366
41,1934,115404,245,26946,88213
28,1935,120977,312,27603,93062
66,1936,124507,234,29224,95049
70,1937,123508,308,29454,93746
44,1938,127267,336,29926,97005
72,1939,125853,346,29980,95527
36,1940,144171,313,31942,111916
116,1941,111530,299,27367,83864
68,1942,106844,305,26537,80002
53,1943,98264,292,23842,74130
102,1944,90692,290,22310,68092
117,1945,97292,288,23806,73198
105,1946,126310,319,31307,94684
80,1947,150888,372,38022,112494
114,1948,174642,402,45867,128373
26,1949,188465,538,51808,136119
57,1950,247945,671,69883,177391
104,1951,253728,717,75364,177647
52,1952,263772,802,80629,182341
64,1953,275082,915,87778,186389
108,1954,287111,1045,93573,192493
83,1955,298208,1045,99862,197301
46,1956,307618,1377,105826,200415
62,1957,322665,1443,112260,208962
110,1958,343389,1656,120955,220778
29,1959,362908,1724,129691,231493
74,1960,413292,2030,148259,263003
79,1961,407051,2395,149565,255091
23,1962,431516,2568,162413,266535
121,1963,471975,3058,182070,286847
39,1964,507742,3536,201137,303069
76,1965,558414,4240,221208,332966
82,1966,590437,4638,237561,348238
61,1967,637049,5917,261593,369539
4,1968,682622,6497,281653,394472
65,1969,738350,7699,306962,423689
35,1970,855469,9657,367270,478542
9,1971,797505,9887,351494,436124
96,1972,833001,11421,372197,449383
19,1973,860676,13246,390663,456767
47,1974,889440,14631,407732,467077
58,1975,930764,16208,434642,479914
49,1976,957635,18618,446730,492287
45,1977,1000999,21029,474865,505105
120,1978,1044403,24124,500130,520149
6,1979,1091027,26638,521178,543211
115,1980,1208254,29946,584802,593506
33,1981,1194578,34240,582784,577554
17,1982,1229872,37212,599335,593325
38,1983,1288798,41199,631310,616289
71,1984,1357659,47349,674922,635388
40,1985,1407038,52149,703803,651086
43,1986,1480566,56578,740830,683158
18,1987,1563257,65192,785231,712834
12,1988,1643374,73211,824802,745361
77,1989,1752983,81492,881053,790438
54,1990,1916325,90790,968809,856726
21,1991,1930384,99500,968318,862566
22,1992,2011755,108215,1004783,898757
51,1993,2118828,116047,1059675,943106
11,1994,2233192,126242,1114107,992843
34,1995,2356669,138724,1179275,1038670
56,1996,2542067,162010,1263979,1116078
30,1997,2686892,180079,1317777,1189036
15,1998,2848841,196432,1394163,1258246
31,1999,2997552,211819,1424797,1360936
60,2000,3378192,233150,1565837,1579205
50,2001,3589232,249113,1616377,1723742
25,2002,3888971,269976,1741997,1876998
37,2003,4324228,296454,1982636,2045138
20,2004,4620674,330795,2074247,2215632
3,2005,5014281,364930,2259621,2389730
5,2006,5504310,418973,2480472,2604865
42,2007,5933830,462607,2600538,2870685
2,2008,6494906,505749,2817162,3171995
24,2009,7100065,559624,3065354,3475087
13,2010,7597602,606988,3271988,3718626
1,2011,8136034,667634,3471404,3996996
8,2012,8508487,732078,3680106,4096303
7,2013,8944096,810317,3908676,4225103
0,2014,9183292,874324,4073507,4235461
14,2015,9371886,930723,4185756,4255407
10,2016,9576087,991880,4451070,4133137
98,2017,9117884,1060267,4291696,3765921
99,2018,8810511,1093876,4169200,3547435
145,2019,8948713,1217837,4353811,3377065
184,2020,9151396,1380665,4527649,3243082
